2008;2007;2007 ref;comment
1-1;1-1;;
1-2;;;
1-3;;;
1-4;1-2;;
1-6;1-3;;
1-7;;;
2-1;1-4;;
2-2;2-1;;
2-3;;;
2-4;;;
2-5;2-2;;
2-6;;;
2-7;2-3;;
3-1;;;
3-2;;;
3-3;2-4;;
3-4;;;
3-5;2-5;;
3-6;;;
3-7;;;
4-1;;;
4-2;;;
4-3;3-1;;
4-4;;;
4-5;3-2;;
4-6;3-3;;
5-1;4-1;;
5-2;4-2;;
5-3;4-3;;
5-4;4-4;;
6-2;5-1;;
6-3;;;
6-4;5-2;;
6-5;5-3;;
6-6;;;
7-1;;;
7-2;;;
7-3;6-1;;
7-4;;;
7-5;6-2;;
7-6;;;
7-7;6-3;;
7-8;;;
8-1;6-4;;
;6-5;;
8-2;7-1;;
8-3;7-2;;
8-4;;;
8-5;;;
8-6;7-3;;
8-7;7-4;;
9-1;7-5;;
;7-6;;
9-2;8-1;;
9-3;8-2;;
9-4;8-3;;
9-5;8-4;;
10-1;;;
10-2;;9-2;
10-3;9-1;;
;9-2;;
10-4;;;
10-5;9-3;;
10-6;9-4;;
11-1;9-5;;
11-2;10-1;;
;10-2;;
11-3;10-3;;
11-4;;;
11-5;10-4;;
12-1;10-5;;
12-2;10-6;;
12-3;11-1;;
12-4;11-2;;
12-5;11-3;;
12-6;;;
13-1;11-4;;
13-2;11-5;;
13-4;11-6;;
13-5;12-1;;
13-6;;;
14-1;12-2;;
14-2;12-3;;
;12-4;;
14-4;12-5;;
14-6;12-6;;
14-7;12-7;;
14-8;13-1;;
14-9;;;
15-1;13-2;;
15-2;13-3;;
15-3;13-4;;
15-4;;;
15-5;;;