description;paragraph
(1) As the sense of the person becomes blurred, you can still feel into a sense of metta;"Rob: Okay. What you may find, sometimes, is that the person becomes blurred, the sense of them becomes blurred, but there's still a sense of _mettā_, and you can just feel into that and keep with that. And it's fine; you just have a vague sense of their beingness, or maybe _very,_ very vague, _very_, very blurred. But there's just a sense of _mettā_ that doesn't seem to have so much of an object. That's fine. That's actually good, and just to be in that _mettā_ that doesn't seem to have so much a sense of an object. Okay, that's one option. ^15-5"
(2) You can play with how formed you make someone;The other option, and this takes probably some practice, is that you can kind of _play_ - you will eventually find that you can play with how _formed_ you make someone. So you can play with kind of going into that emptiness, but not too much, so you still keep them around a bit. You kind of see that they're empty, but you also don't go too far into that - you can kind of pull them back and forth on this sliding scale of emptiness. It might sound completely unreal, but it's actually a very real possibility. You can develop the control of that. So you kind of make them somewhat empty, but not completely empty, so you've still got a sense of somewhere you can direct the _mettā_ towards. If you've got that far in the playing, you'll probably find that it's just a matter of time before you can play with that. Does that make sense? ^15-6
It's not visual imagination, because it's coming out of a contemplation of their emptiness;Rob: Oh. No, because it's coming out of a contemplation of their emptiness. You're _seeing -_ rather than just sort of imaginally scrubbing someone out like that, you're actually reflecting on the nature of their being, reflecting on the nature of their aggregates, etc. And it's that reflection, without trying to manipulate any images in any way - that itself. They begin to get much less defined. So it's something that's coming from a way of seeing and a way of relating. ^16-4
Q3: _mettā_ leads to fearlessness;**Q3: _mettā_ leads to fearlessness** ^16-5
Originally, the Buddha introduced metta an an antidote to fear;Rob: Good, you're welcome. As I said originally, the Buddha introduced this whole practice to a group of monks who were living in the forest and very, very afraid, living in the sort of wilderness in the forest. It was originally an antidote to fear. So can it lead to fearlessness? Absolutely, absolutely. ^16-9
Q4: availability of recordings;**Q4: availability of recordings** ^16-10
I prefer to put a lot out, and hopefully people pick different pieces;"Yeah. And that's actually a good point. In a talk like I gave today, partly - I don't know if it's sensible or not, but sometimes I feel like I'm almost ... There's so much information, and partly, in a way, one is giving it to the tape recorder, because I know it's too much to take in in one go. And one's bombarding - you've had instructions this morning already. And so it's almost like, ""Yeah, take the tape, and just take a few pieces out."" In a way, that's just going to give a lot of stuff that you can - you can go with this for years, years. You get to see, three weeks is a pretty short amount of time to investigate this stuff. You _could_ come for three months or three years, and you'd still be busy with the depth of all this and the range of all this. So it's really important that the tape is there, if you feel interested, and you begin to, ""What was that thing he was going on about ...?"" Or you're doing your best to pay attention, but it's just too much, just kind of going over the head right now. And that's one of the occupational hazards of this stuff. But I prefer to put a lot out, and hopefully people pick different pieces. But great that we have the tapes so that you _can_ refer back to them. Don't worry, as I said, if you feel like, ""Oh gosh, I only got about 3 per cent of what you just said."" It's totally fine. ^17-1"
Q5: writing notes during talks;**Q5: writing notes during talks** ^17-2
If we transcribe the talk, you can always just flip to that page;"Rob: Totally okay to write notes as well. And actually, I like it when people write notes. Not that you have to, but it shows me that people are actually still awake. [laughter] Unless you're writing a shopping list or something. [laughter] It's very good. And it's an interesting thing, with a page of something, if we transcribe the talk, you can always just flip to that page, whereas with a talk you actually have to go through it in time, and it's hard to pull out the pieces - especially in a talk like today, which is basically a long, fat instruction talk, in a lot of respects. It's hard to pull out pieces when you have to go through a whole - whatever it was - an hour I talked for. Sometimes seeing it in a written page, you can just find that place, ""Ah, that's exactly what I want."" It's actually more helpful. ^17-4"
"Q6: when to use insight practices; responsiveness";"**Q6: when to use insight practices; responsiveness** ^17-5"
It's usually better to wait until there's some degree of samadhi before doing insight practice;"Rob: Okay. I think I understand. It's interesting. Some people may hear some of what I've talked about today and say, ""Well, my mind is too scattered; I need to get the basics down."" And there's something to say about that. When the mind, as you say, has some degree of _samādhi_, some degree of collectedness, it's much more malleable. We find, ""Oh, I can play with this. I can pull this piece in. I can do more than one thing at once,"" because there's openness, there's presence, there's malleability in the mind. We can shape what's going on. But it may also be that we feel a bit unconnected, and the _mettā_ is not going very well, the _samādhi_ is not going very well, and you pick up one of these pieces, and you just try doing that, and it actually helps to kick-start. So generally speaking, it's probably better to wait until there's some degree of _samādhi_ and some degree of collectedness, and you feel like, ""It's going okay. Let me drop some of this in."" But it may equally work that it just helps to kick-start when it feels a bit blocked. Can the mind do more than one thing at once? In _samādhi_, you could say it could, yeah, when that's around. Yeah. So it's not going to this and then to this; it's more like, in the expanse of things, holding things together, and learning to do that. ^18-2"
If it leads to more fragmentation, leave it and come back to what's much simpler;"Rob: It could. Yeah. And if it leads to more fragmentation, leave it, and come back to what's much simpler. So all of this, again, is in the context of responsiveness. You do something, and if it works, great. Do it more. Go for it. Do it deeper. Experiment. If you try something and it feels like, ""Well, that took a nosedive,"" you know, go back to what's simpler, what's easier, what helps. Is that answering? ^18-4"
Q7: incorporating _anattā_ into _mettā_ practice;**Q7: incorporating _anattā_ into _mettā_ practice** ^18-7
"Drop in ""not me, not mine"" very lightly, wanting to feel the love";"Rob: Careful you don't get it wrong - ""May I _not_ be happy!"" [laughter] It's a tricky one. You'll have to find what works. What I find is if you stay with just the ""not me, not mine"" as a very light thing, but let the _mettā_ phrases go, but keep the intention of the _mettā_ around. So it's like you're holding both things at once. It can seem very complicated, but it doesn't need to be. So you just drop the ""not me, not mine"" in, as a very, very [light] whisper of a phrase, in the context of the intention for love and wanting to feel when that love is there, and then _feel_ the love. So you're interested in feeling the love that comes out of it, but you can let the _mettā_ phrases go at that point, yeah. But experiment. I wouldn't put them in in the way of, ""May - not me!"" No, it's more - you might be down to just a word at that point, so ""happy"" or ""peaceful,"" you know, and that's going on at the same time. But experiment and see. You may be doing the whole thing without any words at all, not even the ""not me, not mine"" or the _mettā_ phrases. A lot of this is playing, playing with it and finding out what happens. Is that enough? Yeah? Good, okay. ^19-1"
"Q8: letting go of words; trusting in one's own practice; body sensitivity";"**Q8: letting go of words; trusting in one's own practice; body sensitivity** ^19-3"
You don't have to keep trundling the phrases out;"Rob: Yeah, yeah. To work in the way that feels the most helpful, absolutely, and not to assume that you have to keep trundling the phrases out and that that's what _mettā_ practice is. It's not. As I said right at the beginning, _mettā_ is not a technique. We're interested in technique, but what we're interested in is finding the technique and the approach that works for you. If, for the most part, that means no words, you're not alone in that. You're absolutely not alone in that. Just to recognize, ""That's how it is for me right now."" Totally fine. It's more that the intention and the opening and the inclination towards _mettā_ is being nourished. That's all. ^19-5"
You know what's good for you, just go with that;"Rob: You may well, yeah. So you know what's good for you, and that's good, and you just go with that. Yeah. Just to trust yourself with that - yeah, I think that's important. To be enough in contact with one's experience that one trusts, ""This is working for me, and I know it is, and it's okay. And I trust that."" That's really important, to trust one's own practice, what one sees and feels for oneself in one's own practice. ^19-11"
Keep putting the awareness in other places than the head;Rob: So this body sensitivity that I've been talking about - it's very important. And putting the awareness, just gently keep putting it other places - belly, heart centre, etc. And the more you do that with that sensitivity, the more the energy, the more the awareness kind of rests there, takes its centre there. And then it can radiate from there. That's great. Good. ^20-2
Q9: interpreting and working with bodily experience in different ways;**Q9: interpreting and working with bodily experience in different ways** ^20-3
Perceiving the body in a certain way can become self-fulfilling;"Rob: I think so. What you're describing is actually really common. Something comes up in our experience, particularly our experience of the body, and we tend to interpret it in a certain way, in the way we're looking at it. And in so doing, we perceive it a certain way, and that actually can become self-fulfilling. So sore throat - ""Oh, feels like a lump in the throat."" And then actually we _begin_ to feel miserable. I remember having a very irritated eye once, and tearing, and feeling sad. This was years ago. And there was nothing going on emotionally, but it was just, somehow the association of that physical sensation and the way I was looking at it and interpreting it. So, again, a couple of options. ^20-5"
(1) just be with those sensations;"One option is, actually, wipe the slate clean a little bit and say, ""I don't _know_ what this thing is."" And so it's possible sometimes to leave the _mettā_ and just approach the throat, just openly, and just be with those sensations. This is more insight practice territory, but just be with those sensations in a very light, very delicate way, so you're just holding them. And in a way, in the context of this retreat, you're just holding them in kindness, and just letting them be there, but feeling into them, and seeing if it begins to tell you about an emotion or not. That's one option. ^20-6"
(2) put attention elsewhere;"The other option in the context of this retreat is, ""Okay, something going on in the throat - I'll put my attention elsewhere."" And so, another area of the body, maybe the heart area or the belly, may actually feel really okay, or comfortable, or even warm and open. And we keep getting dragged into what's a little bit problematic. Like a magnet, we go there. And if possible, just keeping it where it's okay. So they're kind of opposite suggestions, and you can play with them both. In the second one, it may be that you can find a place where it's okay, and actually just radiate the _mettā_ from there, or feel the _mettā_ from there. And eventually, it washes over everything. ^20-7"
Keep open to both options;So it's important, I think, to keep open to them both, because sometimes there _is_ something going on emotionally, and we need to connect with it and hold it and explore it. Other times, it's just the way that we've gotten into perceiving and interpreting things, and we need to kind of go away from that. Does that answer? Yeah? ^20-8
It's the attention and the enjoyment which allows the awareness to rest;Rob: That's one option. Rather than making them stronger, it's more like just letting the attention rest there, and enjoy that they feel good, rather than getting pulled into what feels difficult all the time. It's the attention and the enjoyment which allows the awareness to kind of rest there and get into that more. ^21-2
"Q10: concerns that insight might negate _mettā_; connecting with emotions and seeing emptiness as two wings of practice";"**Q10: concerns that insight might negate _mettā_; connecting with emotions and seeing emptiness as two wings of practice** ^21-3"
One wing of longterm practice is learning how to open to ourselves;"Rob: Right. Yeah. Very important question. Again, kind of stepping back and taking a big view. If we think, ""What's involved in this life of practice? What's involved in the long run in terms of practice?"" One wing of it is learning how to open to ourselves, learning how to open to our emotions - how to be with them, how to acknowledge them, how to feel them, how to respect them, how to connect with them. That's very much a part of what can develop, or what we can rediscover in our practice: really reconnecting with the emotional life and honouring that. That's what I hear you saying. ^21-5"
A whole other wing is understanding emptiness - birds need two wings;"And a whole other wing is this business about emptiness. Sometimes, you're quite right that bringing in a reflection of ""not me, not mine, not-self,"" etc., does tend to kind of dissolve whatever emotion is there. Now, it's almost like holding both these wings at once. If all one ever did, or all one ever could do in one's practice is just dissolve emotions, and one didn't really have the skill and the capacity, or the willingness, or the fearlessness to be with emotions and feel them, and be able to hold oneself in the emotions, and connect with one's emotions - if all one had was emptiness, it would be like a bird with one wing trying to fly. It's not going to get anywhere. It's not going to get off the ground, or it will just go round in circles. ^21-6"
You may have periods in your life where you're encouraging one more than another;"If all one had was a very beautiful ability to be open with one's emotional life, to connect with it, to respect it, to express it, to hold it, to love one's emotional life, to be clear about what's going on in one's emotional life - if all one had was _that_, again, like a bird with just one wing. One is missing the whole other half of practice. I think you're talking about a long term of practice, to really learn to hold these two together and kind of, ""Do I understand both? Have I got skill in both? Am I really open to my emotions, but can I also kind of let go of that whole arena of emotions and see beyond it in that way?"" To have both - again, we're talking about quite a mature practice - is it possible? Absolutely. Some people feel, ""Well, I have to do one before I do another."" I'm not sure if that's possible. You may have periods in your life where you're encouraging one more than another, and that's fine, and right now might be a period where you're actually wanting to respect the emotions more and be with the emotions more, and that's totally fine - in which case, maybe shelve the other stuff for another time. ^21-7"
Have I been an avoider of emotions? Or too wrapped up and entangled in emotions? What do I need to develop;"Rob: It's about, again, what's appropriate and helpful right now for you. In a way, sometimes we need to have an overview and quite a large view of our whole life and practice, which can be difficult, you know. ""Where has my life been? Have I been an avoider of emotions? Have I been too wrapped up and entangled in emotions?"" And then seeing, ""What do I know how to do? What do I need to develop?"" So you're asking a very big question. Do you see that? ^22-2"
(1) respect the emotion and feel it;"Rob: You have, again, a couple of options. One is to just know what you're doing at any time, and sometimes say, ""I'm just going to really respect the emotion and go into it and feel it, not do anything with it, to accept, feel it, and open to it, and hold myself in that, connect with it."" Sometimes you do that. At other times you can explore some of these ways I've talked about letting go. Sometimes you'll find that beautiful emotions deepen with that. But more difficult emotions tend to dissolve. Sometimes you'll find that. But you can have a choice, even on this retreat, just as long as you know what you're doing when. ^22-4"
(2) shelve the emotion for later;"Or the second option - this is totally valid - is you can just shelve one of them for a while and just say, ""I know I need to get to the other one, and I'll get to it sometime, but not on this retreat."" So both of those would be the Middle Way - the Middle Way meaning aware that they're both important in one's life, and one needs to learn how to do both. Without both, the practice hasn't really opened into its maturity. Exactly how you go about that, you have two options there. Does that make sense? Yeah? Good, okay. ^22-5"
Q11: ability to move between different ways of seeing as the mark of mature practice;**Q11: ability to move between different ways of seeing as the mark of mature practice** ^22-6
Maturity in practice comes from being able to move between different ways of seeing;"Rob: We're going to get onto this in the third week, but if we just talk about emptiness, I'll just say something now. I hope it doesn't confuse. But when you contemplate emptiness in certain ways, things disappear. So problematic emotions disappear; objects disappear from consciousness. It's said that only a Buddha, only a fully enlightened Buddha - not even an arahant - just a Buddha is able to contemplate emptiness and actually keep the object around at the same time. What I meant by ""mature practice"" was more that we're able to move between different ways of seeing things. And a way of seeing is just that - it's not ultimately true. It's just a way of seeing. In some instances or some interactions or some inner environments or situations, it's most helpful to see in one way. Here we've had an argument, and you and I have had an argument about something, and there's a difficulty, and I come to you, and I say, ""Hey, Elizabeth, it's all empty."" You're probably going to punch me. [laughter] What certain situations need is very relative, conventional language. We need to talk about our emotions; we need to express what we feel to each other; we need to respect that. I need to respect my emotions and your emotions at that level. So in that moment, that's what's helpful, that way of looking. But I'm saying a mature practice is able to move between picking that up, putting it down, picking up other ways of seeing - emptiness, _anattā_, etc. - and putting them down, not getting stuck in one or the other. Does that make sense? ^22-8"
Q12: seeing emptiness brings about letting go of grasping, fading of difficulty, and deepening of happiness;**Q12: seeing emptiness brings about letting go of grasping, fading of difficulty, and deepening of happiness** ^23-3
We think there is a thing and then the relationship we have with it;"Rob: Okay. [laughter] We're going to get into this in the third week. So we do a week on loving-kindness, a week on compassion, and a week on what all this has to do with emptiness and all that. So usually, when there's something difficult around, an emotion that's difficult, or even a body sensation that's difficult, or anything that's difficult, we tend to think, ""Well, that thing exists, and then I can relate to it in any way that I choose to."" Or maybe I can't choose, but I relate to it. So there's a thing, and then the relationship we have with it. ^23-5"
But the thing and our relationship are actually not separate;As we go deeper into understanding, Dharmic understanding, one realizes that the thing - it's a bit like what I was saying with fear - the thing and our relationship to it are actually not separate. So the way that I'm looking, and my relationship, is something that _feeds_, is part of what creates and feeds and shapes and colours any object in the Present moment. So an object doesn't exist independently of the way I'm looking at it, and the way I'm relating to it. ^23-6
Example: subtle aversion in mindfulness;"Sometimes we can sit there and say, ""I'm being mindful. I'm being mindful. I'm being mindful,"" but actually there's a subtle aversion wrapped up in that mindfulness, or a subtle grasping. And we don't actually realize it. That subtle aversion or grasping is enough to keep something difficult going, because the aversion is part of what's feeding it. You understand? ^23-7"
When we let go, we're actually taking away some of what is building an experience, and it begins to fade;As we begin to learn to let go of that aversion, for instance, or grasping, or identification, we begin to let go of certain factors, we're actually taking away some of what is building an experience. And so, it begins to fade. Difficult things are held in place, basically, by aversion, by grasping, by identification, by all these things we're talking about letting go of. So as you let go of them, they tend to fade. Happiness, at one level, or peace, or joy, is also held in place by grasping, to an extent. But it's a more subtle kind of grasping. What one finds is that if one lets go of the grasping towards happiness, the happiness actually deepens. It becomes more refined. So it goes from, for instance, a very sort of bubbly happiness to a more peaceful happiness. It's dependent - because we're not holding it in place by the way we're looking and relating. Does that make sense, or have I confused ...? No? Okay. We're going to talk a lot about this in the third week. ^23-8
Q13: independent existence;"**Q13: no thing exists independently of a consciousness that shapes, colours, and fabricates it; assumptions around 'bare attention' and 'naked awareness'; struggles in life depend on belief in independent existence** ^24-1"
Nothing exists outside of what one's bringing to that;"Rob: Well, ultimately, no. That's what all this is pointing to: nothing exists in a way outside of one's self, outside of what one's bringing to that. So it's a different question than, ""If a tree falls in the forest, and there's no one around, does it make a noise?"" It's not going there, to that question. It's avoiding that question. We're talking about experience and understanding experience in the light of suffering arising or not. So it's very personal, experiential, very real for us. We're not asking abstract philosophical questions about that. That's very important in terms of the Buddhist path. ^24-3"
"Yogi: Is letting go completely ""naked awareness""?";Yogi: So if you get to the point - this is hypothetical - you get to the point where you could let go of that subtle grasping and clinging, so that your perception didn't colour the object in any way whatsoever, is that what you would call 'naked awareness'? ^24-4
Rob: The oucome of going into these questions is deep freedom and love;"Rob: Okay. So this ... [laughs] Tea is late today, by the way, because of her. [laughter] No, no, this is great. This is great. There aren't many better questions than what you're asking and what's being asked. These are the real - they end up being the kind of deepest questions that a human being can ask about life. At the moment it might seem a bit cerebral and everything, but they're actually really important, deep questions. Eventually, all practice leads to these kind of questions, and really seeing them for ourselves, because the understanding, as I keep saying, leads to freedom and love. There's nothing about being clever here; it's just that the outcome of going into these questions is really deep freedom and very deep love. We'll definitely, as I said, revisit this very strongly in the third week. ^24-5"
"""Bare attention"" is not mentioned in the suttas";But when we talk about insight meditation and mindfulness practice, it carries with it an assumption of naked awareness or bare attention. It's actually a word that the Buddha didn't use. It's not there in the suttas, if you read the suttas. It's not there. It might be there once, or it might not even be there once. ^24-6
With naked awareness, our assumption is that we can get to things as they are;"Rob: Well, same. Naked awareness or bare attention. Yeah, same, same. It can be really helpful as a concept: ""My mind is all over the place. I'm aware that I'm projecting all kinds of things onto people and experiences, etc. I'm colouring things. I'm distorting things in all ways. Let me see if I can be mindful, be very simple in the awareness, and get underneath all those views and opinions, likes and dislikes, distortions and images, and preconceptions. Underneath, I'll meet the experience with as naked an awareness as possible."" That's part of what we tend to call ""mindfulness,"" and the assumption is that there is such a thing and that one can get to a point where one is not colouring objects in any way, and then one has arrived at, ""That's how the object really is. That's how it is. This is it. This is _things as they are_,"" which is also a phrase that's very popular in the Dharma, ""things as they are,"" and actually a phrase that the Buddha used. But that's not what he meant when he used it - ""things as they are."" ^24-8"
There is no moment of consciousness that is not shaping or creating or colouring or fabricating an experience;"Rather, what he meant - ""things as they are"" - you cannot find a consciousness, a state of mind, a moment of consciousness, that is not shaping or creating or colouring or fabricating an experience. We tend to think, ""Well, mindfulness is this sort of midpoint where you've got rid of all this other stuff."" Or we think, ""Yeah, equanimity is that."" But when you really go into it, there's no such thing. The very nature of consciousness itself is that it's always creating an object and shaping, colouring - 'fabricating' is the Buddha's word - fabricating an object. As such, there is no place to stand where you see a thing as it is _independently of the way I'm looking at it_. What we're doing in this retreat, what we're leading up towards, is using love and compassion as a way of seeing that. It doesn't sound obvious at first, but it will hopefully become clear. [laughter] It _will_ come clear. [laughter] It will come clear. ^25-1"
The whole nature of perception begins to be unravelled;"Rob: The whole level of it, as you go deeper into it, the whole nature of perception begins to be unravelled, and the assumption that things exist independent of the way we're looking at them is seen to be a falsehood. It's just not true. To understand that, that's what it means to understand emptiness. That's exactly what it means, and that's what the Buddha taught: liberating insight. That's exactly what he taught, what he meant. So when the Buddha uses the words ""things as they are,"" what he means, what he meant, was ""things as they are"" - it's _dependent_, dependent co-arising. They don't exist independently. To see a thing as it is means to really recognize - and again, totally in one's heart, one really knows - that it doesn't exist independently. We struggle with things in life partly because we believe that they exist independently: ""This knee pain - that's _really_ what it is. It really hurts. It really hurts exactly this amount. It's not that bad, but it's quite bad."" And we believe it exists independently, and then we struggle with things. At a very deep level, when we begin to undermine that belief in the independent existence of things, then our whole sense of reality is opened up. It's almost as if suffering can't land anywhere; we can't land anywhere to struggle with anything. Or we believe that less and less, put it that way. And then comes more and more a sense of freedom, and love comes. It will become clearer in time what the hell this has got to do with love and compassion. But there's a reason we put it at the third week. But it's coming up now, and it's fine. We're moving in that direction. ^25-4"
Q14: relief as a mark of insight;**Q14: relief as a mark of insight** ^26-1
The feeling of relief is a mark of insight;Rob: Yes, yeah. Absolutely. And relief is a mark of insight, yeah, the feeling of relief is a mark of insight. ^26-3
In this retreat, you cannot fail: loving-kindness, samadhi, emptiness, all moving towards awakening;"So, _if_ there's someone who doesn't understand this right now ... [laughs] Just kidding. If you ... [laughter] If this isn't totally crystal clear right now, don't worry. Going back to - I think I started the talk on _samādhi_ saying, when we were conceiving of this retreat, I had a good think about it and thought, ""What's a person going to get out of this?"" You can't go wrong. So it may be that we get to the end of the three weeks, and all this stuff about emptiness is ""I've got it."" [snaps fingers] ""I've really understood."" Great. Fantastic. I really hope that's the case. It may be that it didn't _quite_ ... That's okay too. You'll still have developed the loving-kindness and compassion. It's still moving towards awakening. And still there will have been the development of _samādhi_. It's all in there. You cannot fail here. And we're not grading people either, so ... [laughter] We're going to talk about it more and more. It will come together. ^26-4"
